state_abbr,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)"
OR,2010,3208,20579,280,2716,1696,10721,15356,17723,0,61,818,1744,1,0,0,22068,15624,17,1307,91,602,300,244,1063,14047,387,0,8,4876,1701,1222
OR,2011,3166,21195,268,2663,856,10537,15380,19915,0,34,783,1678,1,0,0,21425,14225,14,1243,70,600,376,236,977,13890,410,0,0,4785,1795,1183
OR,2012,2917,19921,263,2642,1156,10518,14441,20020,1,38,756,1803,3,0,0,22442,13020,17,1450,91,568,450,230,1156,13387,520,0,11,4314,1777,1169
OR,2013,2587,19223,190,2201,975,9703,14130,20737,2,21,834,1857,1,0,0,21235,10778,12,1369,78,485,342,183,947,11477,500,1,1,4262,2090,1010
OR,2014,2723,19722,196,2054,879,8860,13081,19310,0,28,537,2052,0,0,0,19138,9403,15,1341,62,398,316,215,878,10765,454,0,2,3764,1975,874
OR,2015,2360,19547,170,1585,516,6157,10754,13110,27,30,412,1471,2,0,0,13486,5944,4,1076,52,376,134,139,505,8052,449,0,1,3010,1464,559
OR,2016,2972,49994,228,1833,535,7099,14974,14827,6,45,616,1902,1,0,0,17309,5143,10,1573,77,365,282,164,848,10802,603,0,5,4232,1843,558
OR,2017,2937,46007,228,1571,505,6938,14430,16444,18,52,696,2036,0,6,2,14866,4021,10,2039,72,416,310,210,753,10762,629,0,23,4155,2214,473
OR,2018,3585,50184,301,1992,362,7143,14660,15710,31,73,723,2205,1,1,0,16014,3299,22,2118,60,385,250,286,915,11819,675,0,3,4065,2447,420
OR,2019,4048,49940,315,2065,291,7493,13377,15050,28,99,758,2338,1,2,0,16869,2932,27,2212,57,381,139,305,907,11989,626,0,2,4073,2402,512
OR,2020,4103,35143,437,2342,221,6521,11069,9683,3,58,519,1407,1,0,0,12594,1847,23,2133,73,291,45,217,946,10747,643,0,16,4119,2260,377
OR,2021,4304,33941,473,1924,80,4876,12218,4393,0,46,354,1207,1,2,0,9439,929,30,2234,83,209,211,228,913,10201,846,0,12,4175,2256,369
OR,2022,4069,35308,388,2088,59,4817,12183,3254,0,46,440,1224,0,1,0,11304,1096,15,2311,99,210,105,187,910,10100,986,0,52,3661,2076,315
PA,2004,15871,53486,759,10018,26047,60815,43679,53347,22750,370,3901,13089,290,0,0,39986,27581,41,5136,550,1000,2986,1290,6779,44474,3660,0,1110,14043,4729,3220
PA,2005,16366,53243,719,10149,28712,59989,44825,54237,23616,407,3730,13282,323,0,0,40310,27053,42,4828,531,1065,2577,1251,7020,44678,3507,0,1056,12869,5055,3003
PA,2006,17058,57304,765,10403,29984,62908,49076,57059,24022,406,3614,11233,349,0,0,39930,29155,38,4738,499,1057,2588,1128,7655,45682,3614,0,1074,14400,5209,2786
PA,2007,16489,57188,774,10002,25521,64015,51744,58944,26135,454,3472,9854,284,0,0,43059,28104,55,4248,525,1167,2345,1116,7392,47258,3531,0,797,13105,4705,2855
PA,2008,16795,57994,687,10399,25087,64397,54206,57059,26152,508,3026,8810,303,0,0,47140,27073,34,3525,576,1212,2499,1187,7457,47818,3216,0,1111,13159,4652,2843
PA,2009,15754,54498,656,9708,22371,63153,52789,54398,25800,425,2701,8303,164,0,0,47389,24113,42,2877,532,1180,1897,1139,6926,46094,2972,0,1373,12038,4243,2818
PA,2010,16320,54882,666,9557,19216,59783,52385,56709,25529,405,2740,7550,141,0,0,46995,22841,38,2640,558,1268,1988,992,6954,49134,2885,0,1347,10585,4341,2770
PA,2011,16318,54063,575,10322,13856,52919,51723,55490,25382,454,2812,7165,130,0,0,49366,21274,28,2698,452,1621,1975,992,6646,47172,3171,0,1082,10058,4450,2608
PA,2012,16078,57939,583,10276,17000,50622,50737,57291,25517,451,2602,7172,142,0,0,51401,20027,45,2658,557,1730,2150,963,6518,46174,2889,0,742,9668,4281,2678
PA,2013,15674,59039,480,9840,17256,46939,48157,58071,24384,476,2641,7212,107,0,0,51950,16100,50,2421,493,1943,2100,1193,6125,45362,2708,0,527,8598,4382,2581
PA,2014,14336,61926,483,8167,15417,41691,47779,58791,23610,455,2297,7651,92,0,0,51764,14374,41,2401,408,1846,2355,1105,5647,43594,2542,0,489,7856,4811,2321
PA,2015,13258,55653,472,7265,12156,39577,46981,56991,22167,443,2486,8446,64,0,0,48230,11484,41,2372,501,1920,1835,1110,5238,43817,2500,0,391,7613,4547,2508
PA,2016,13101,47961,436,6623,7353,36978,46626,57834,21361,497,2418,8517,108,0,0,44407,9768,57,2464,410,1875,1916,1049,5008,41692,2534,0,273,7339,4991,2299
PA,2017,13918,47365,362,6191,6744,36072,45578,64200,21311,479,2438,7874,53,0,0,41980,9490,73,2443,461,2049,1784,1177,4921,42753,2464,0,309,7283,5103,2270
PA,2018,14263,43354,346,5261,4867,31671,44167,63413,20000,448,2271,8342,34,0,0,36652,6747,84,2542,516,1901,1296,1177,3946,41351,2285,0,244,6351,5108,2419
PA,2019,13185,42479,312,4529,4055,27239,40933,57369,17189,438,2109,5649,58,1,3,33030,5535,53,2259,474,1790,1000,1033,3804,38712,1914,0,206,5781,5017,2177
PA,2020,10305,29075,340,4073,1239,20007,21276,36919,9647,248,1105,3096,144,7,14,20502,2814,59,2049,519,1268,343,672,2741,24107,1435,0,191,4322,5118,1450
PA,2021,4039,12359,161,1339,46,4571,23096,19651,230,62,585,784,53,5,3,7304,540,26,1005,198,377,65,285,922,18581,587,0,1148,1964,3088,293
PA,2022,8122,26511,238,2985,251,14751,30134,28091,5052,203,1113,3054,103,1,3,19774,1791,52,2071,488,980,359,601,2134,29396,1477,0,1178,3853,5580,1219
RI,2004,862,15582,89,838,15,3539,2367,4388,10,196,221,1198,10,0,0,3305,1027,1,257,19,139,215,94,282,5877,509,5,14,1644,590,110
RI,2005,639,16221,79,717,9,3187,2436,3501,20,169,185,975,13,0,0,2486,1030,1,270,18,138,224,73,238,4467,311,0,5,1310,399,157
RI,2006,575,16598,58,733,40,3376,2278,3990,14,191,213,1010,15,0,0,2369,832,0,163,17,188,238,64,213,4556,333,1,11,1604,405,127
RI,2007,487,12718,49,724,33,3141,2398,3492,12,154,141,743,17,0,0,2294,872,0,152,10,169,173,58,148,3920,285,0,5,1194,321,99
RI,2008,546,12172,47,776,9,3120,2779,3764,12,133,141,758,4,0,0,2793,937,0,139,13,159,216,59,260,4105,341,0,2,1264,392,122
RI,2009,598,11155,67,842,18,3322,2691,4218,9,135,142,663,3,0,0,3135,1102,0,125,13,172,98,68,295,4644,364,0,2,1266,483,106
RI,2010,606,12292,52,843,4,3400,2587,3777,17,110,144,590,0,0,0,2780,1163,1,153,9,103,103,60,273,4848,398,0,0,1311,409,107
RI,2011,587,11023,46,877,21,3181,2510,3554,4,111,101,551,11,0,0,2868,686,1,117,7,125,69,56,190,4441,339,0,1,1235,407,94
RI,2012,649,11408,31,732,28,2998,2557,3621,5,116,120,557,6,0,0,2755,656,2,124,10,129,74,69,173,4363,416,0,1,1110,405,104
RI,2013,570,11222,44,712,25,2768,2577,2222,38,101,120,498,1,0,0,2706,645,0,132,10,102,66,88,184,3994,372,0,1,953,342,96
RI,2014,585,11462,49,644,17,2784,2723,1905,5,120,104,509,19,0,0,2549,704,0,118,14,116,85,61,123,4057,313,0,3,937,352,94
RI,2015,612,9668,29,489,13,2418,2590,1747,12,91,101,436,5,0,0,2115,588,0,116,18,76,98,94,155,3922,310,0,0,988,394,87
RI,2016,649,9614,36,596,12,2239,2724,1745,10,87,111,587,18,0,0,2124,480,0,127,18,68,80,85,143,4004,341,0,0,1037,465,91
RI,2017,709,8547,31,585,12,2204,2498,1967,9,110,97,491,9,8,0,1939,452,1,157,11,84,79,91,157,4129,326,0,1,1039,429,75
RI,2018,675,8522,12,497,18,2276,2423,2031,11,75,124,554,4,2,0,1997,337,2,158,4,74,63,77,192,4171,352,0,0,918,348,82
RI,2019,682,8357,45,485,14,2251,2482,1843,28,108,160,592,5,6,1,1843,278,1,141,10,77,43,105,109,4052,277,0,4,933,362,87
RI,2020,797,6211,33,386,18,1626,2051,1423,23,46,93,226,2,0,0,1177,432,0,154,15,56,8,72,95,3306,266,0,0,837,332,56
RI,2021,691,7426,29,350,12,1545,2798,1637,0,49,115,254,1,0,0,1008,402,0,163,13,91,4,79,86,3363,265,0,0,878,476,60
RI,2022,561,7491,34,417,3,1993,2660,1293,0,61,117,293,5,0,0,1196,314,1,182,17,57,2,86,92,3632,216,0,1,812,493,69
SC,2004,9012,52222,200,5022,36,13666,9232,28762,11154,520,2851,25718,166,0,0,19702,11089,7,1156,287,672,654,532,1606,25145,2635,0,472,3834,2538,1033
SC,2005,9138,48847,210,5499,47,15156,9598,31833,11368,507,2662,25652,176,0,0,19594,10818,7,1261,312,773,747,582,1690,25634,2754,0,984,4286,2845,879
SC,2006,8855,39936,221,5324,49,15074,8854,32878,10967,523,2655,20874,119,0,0,17271,10495,11,1221,342,966,640,448,1814,24645,2695,0,1165,4087,2970,801
SC,2007,8551,41546,190,5482,50,15583,11840,31952,11837,565,2514,17797,192,0,0,19051,11638,8,1097,331,1624,672,429,1789,23737,2562,0,1434,4298,2884,695
SC,2008,5508,37895,128,3648,59,15747,14742,18591,12785,359,1565,13715,53,0,0,13927,12711,3,786,208,1435,392,293,1419,14199,1693,0,1504,2530,1719,453
SC,2009,7459,36220,147,4774,72,16351,17465,28682,12198,448,1961,10348,356,0,0,21222,10627,9,894,266,1313,654,353,1756,21232,2111,0,1237,3343,2517,598
SC,2010,7133,32293,141,4682,120,16022,19608,30802,11936,414,1768,7595,326,0,0,21348,9828,7,884,271,1164,645,313,1556,22219,2102,0,973,3465,2451,583
SC,2011,6357,28128,161,4816,70,14795,18100,28079,9931,405,1642,5312,240,0,0,22824,8502,5,850,315,1080,540,346,1420,21649,2151,0,1088,3571,2101,530
SC,2012,6088,30283,172,5221,63,14775,19136,29265,10183,337,1849,5011,186,0,0,24899,8677,10,850,285,1128,551,363,1504,20360,2202,0,830,3064,2130,569
SC,2013,5713,30329,145,4539,24,14374,19288,29260,9586,365,1531,4801,104,0,0,25569,7974,4,739,299,1520,473,410,1330,19835,2268,0,584,3061,2083,402
SC,2014,5612,33621,135,4071,39,13713,17181,30787,9798,406,1491,4348,114,0,0,25055,8054,5,851,253,1477,649,360,1321,20242,2100,0,703,3114,2027,417
SC,2015,5220,29895,119,3577,24,10425,17034,28996,8285,407,1327,3778,131,0,0,23047,6667,9,842,284,1361,599,360,1124,18848,1990,0,522,3100,2046,342
SC,2016,5287,30586,126,3498,31,8938,16146,31766,7186,359,1187,3644,51,0,0,20931,5185,12,992,299,1286,591,441,1226,17344,2097,0,428,2928,2421,326
SC,2017,5518,32097,122,3692,32,9299,16236,35858,6556,420,1362,3944,44,6,4,21635,4705,9,1145,328,1294,383,509,1296,16771,2308,0,505,3021,2583,318
SC,2018,5536,29195,152,3485,35,9237,15815,37963,6117,361,1230,3630,82,7,1,20311,4482,9,1212,327,1311,291,568,1284,17254,2578,0,597,2795,2869,314
SC,2019,5576,27692,130,3302,11,8814,9777,33733,5606,441,1243,3561,47,4,1,20352,4266,13,1210,350,1238,284,494,1149,16949,2472,0,584,2983,3185,309
SC,2020,5838,28757,135,3023,30,7775,11515,29452,3162,233,895,2606,29,4,0,18043,3594,10,1214,440,841,184,448,1029,15490,2651,0,495,3029,3481,254
SC,2021,5671,32202,141,2602,17,7304,11630,29129,0,202,797,2281,51,2,0,13738,3851,21,1186,492,924,69,438,870,15870,2415,0,378,3072,3922,287
SC,2022,5642,34867,147,2539,5,6829,10927,28181,0,232,735,2102,48,4,2,13522,3392,18,1022,411,914,66,397,670,16421,1953,0,639,2971,4373,273
SD,2004,385,8403,26,428,269,1559,5546,2645,570,35,171,1165,1,0,0,2274,7208,4,129,8,297,3,75,30,2826,137,0,54,560,120,205
SD,2005,283,6392,16,245,165,924,2980,1467,450,40,105,450,3,0,0,1365,3626,2,67,5,194,3,58,12,1671,114,1,17,317,100,94
SD,2006,222,2092,24,198,167,977,4250,1446,149,20,55,611,0,0,0,1057,4897,0,82,2,385,4,35,18,2018,25,0,6,338,82,55
SD,2007,293,1876,41,289,288,1436,4922,1715,112,29,68,681,0,0,0,1695,5849,0,83,11,386,7,39,26,2543,79,0,23,474,135,60
SD,2008,386,2568,45,298,167,1889,6569,2206,77,50,110,899,0,0,0,2389,6263,0,116,15,345,11,54,31,3052,61,0,133,622,132,79
SD,2009,372,2651,14,339,155,1997,6315,2743,107,41,106,760,0,0,0,3239,5497,0,147,15,414,15,62,42,3465,96,0,182,647,146,82
SD,2010,497,2658,12,387,196,1919,5544,2630,75,32,110,638,1,0,0,2999,5646,2,116,13,276,22,47,40,3691,99,0,190,560,178,59
SD,2011,501,4032,30,380,206,2122,5636,3032,113,29,120,584,6,0,0,3085,4946,1,133,15,345,19,49,35,3898,82,0,264,627,143,76
SD,2012,646,7087,30,390,147,2185,5828,3636,106,52,75,679,0,0,0,3295,4599,0,154,10,436,49,68,54,3930,106,0,292,581,164,70
SD,2013,746,8184,20,361,167,2043,6360,4667,86,29,97,698,7,0,0,2765,4255,1,164,12,328,67,37,35,3689,102,0,290,520,180,66
SD,2014,775,8034,27,318,149,2302,6128,4965,111,34,75,636,0,0,0,3186,3288,3,135,10,371,52,51,63,3856,92,0,419,471,159,61
SD,2015,1304,12025,31,336,169,3940,7862,6681,9062,34,71,742,1,0,0,3201,7928,7,248,17,1210,50,67,71,4536,121,177,447,573,242,75
SD,2016,1306,20555,18,399,140,3678,8893,7454,3884,41,107,713,1,0,0,3025,4375,1,315,25,1541,26,56,61,4709,190,55,474,525,312,70
SD,2017,1573,16372,15,448,184,3642,8296,7950,6941,33,102,747,1,0,0,2501,5109,1,326,20,2384,33,83,78,4915,220,69,568,632,337,91
SD,2018,1275,15547,25,315,82,2782,6622,8446,3710,31,130,819,1,0,0,2347,2671,6,241,12,881,16,68,76,4843,174,50,623,586,283,64
SD,2019,1193,15373,18,298,64,2694,6051,8276,1910,24,166,789,1,0,0,2085,3740,11,302,15,793,21,76,62,5109,193,1,632,571,325,53
SD,2020,1924,11576,28,303,74,2465,6200,7511,6857,17,127,578,1,2,0,1656,2404,16,395,23,1107,5,41,67,5234,268,2,561,504,286,50
SD,2021,1204,20550,23,230,55,3608,6763,6095,0,12,148,556,3,0,0,922,1599,15,287,11,849,8,47,52,4479,168,0,600,430,370,48
SD,2022,1218,17676,31,299,59,3444,5965,5357,0,25,116,494,0,0,1,1116,1469,6,351,28,883,5,50,93,4870,199,0,502,504,365,60
TN,2004,11254,93590,246,5806,1740,12546,26334,35805,21681,638,3651,15484,280,0,0,25526,7677,20,2723,348,1571,1590,365,2133,30984,1073,0,39,3948,3113,758
TN,2005,12494,97009,281,6568,1890,11898,26145,39047,21063,787,3858,16894,320,0,0,26364,8768,14,2980,373,2013,2041,419,2802,33789,1138,0,38,4580,3395,831
TN,2006,11388,105311,286,6845,1593,11882,26362,38558,23592,1048,4095,15570,283,0,0,24507,9327,13,2856,363,2380,2161,402,2973,34936,962,0,28,4986,3600,895
TN,2007,12104,113929,250,7032,2091,12642,30677,43459,24460,1213,3733,14003,340,0,0,29844,9552,15,2931,324,2401,2231,445,3099,36267,904,0,66,5251,3680,901
TN,2008,11867,121196,323,7598,2027,11668,29894,39104,23493,1228,3444,13729,363,0,0,33510,8820,18,2784,344,2378,2123,447,3107,37279,955,0,81,5148,3532,930
TN,2009,12080,126103,251,7887,2095,11207,28058,40853,22913,919,3168,11764,446,0,0,36163,7911,15,2182,406,2937,2551,401,2925,38610,920,0,73,5132,3523,912
TN,2010,14074,161464,270,7979,2194,12640,24137,42037,19498,762,2533,9264,423,0,0,34951,7180,15,2219,318,3080,2398,424,2515,35663,826,0,45,5013,3412,954
TN,2011,14115,165018,249,8441,2007,12324,26614,42315,21374,769,2389,9270,371,0,0,36060,7882,16,2307,339,3129,2498,475,2456,36423,760,0,19,4946,3635,967
TN,2012,15066,145305,233,7489,1615,11141,28149,45376,20974,795,2249,8800,300,0,0,36690,8357,22,2266,315,2972,2152,414,2345,34821,764,0,14,4816,3750,908
TN,2013,14829,144044,198,6587,1923,9726,26704,46981,17767,737,1893,7254,343,0,0,36831,7252,19,1951,371,3166,1518,402,2192,32928,709,0,26,4329,3344,744
TN,2014,14622,144253,241,6081,1555,8710,27174,41969,17729,767,1718,6735,207,0,0,36630,6981,10,2166,312,3573,1399,370,2093,31627,749,0,7,4715,3018,635
TN,2015,14487,139821,140,5529,1709,7371,23927,39778,16445,822,1917,6228,159,0,0,35712,5679,14,2318,335,3873,1294,358,1989,30920,820,0,12,5011,2564,694
TN,2016,13289,145510,192,5547,1256,7358,23631,46089,14720,758,2018,6104,178,0,0,31435,4435,19,2801,286,4133,1174,305,1934,32266,1087,0,25,4731,2861,613
TN,2017,12435,154638,192,5462,1237,6828,20144,49149,15279,687,1879,5647,149,23,1,30380,3918,27,3549,375,4332,959,478,1882,32951,1509,0,5,4756,3143,640
TN,2018,12307,151438,150,4810,885,6182,20212,50859,14305,752,1849,5501,76,3,0,31570,3470,27,3977,419,4474,540,477,1852,32498,1657,0,9,4376,3027,597
TN,2019,12207,143053,162,4846,723,5909,19588,47202,13392,811,2074,5149,57,20,5,29053,3066,34,4124,386,3906,498,488,1755,32622,1566,0,13,4447,2962,588
TN,2020,11841,103162,156,4419,476,4241,18347,40249,9105,466,1443,3856,31,11,0,23648,1968,39,3998,423,2287,295,359,1417,28047,1837,0,9,4191,2948,464
TN,2021,11746,115695,189,3959,449,4729,19605,44179,0,420,1439,3561,33,64,0,18203,2096,35,3777,410,2250,362,399,1196,28477,1982,0,5,4319,3614,524
TN,2022,10479,114659,151,3509,335,3948,17659,37009,0,498,1550,3119,21,30,0,17260,1966,24,3306,344,2142,425,328,915,25983,1717,0,9,3711,3049,408
TX,2004,23213,315495,868,19439,15258,42195,98152,125640,130936,556,9557,17802,453,0,0,103198,30313,174,8777,835,4710,6575,2191,7314,107764,842,15,4612,13112,13051,5022
TX,2005,23457,317454,749,18897,14449,41760,92378,128045,123140,561,9911,16561,432,0,0,96885,28419,136,8356,931,4961,6958,2242,6702,108070,747,31,4196,12961,14092,4765
TX,2006,23743,332620,822,19196,13485,45764,93032,140207,125099,543,8965,16021,434,0,0,88418,30017,201,7807,790,5746,8463,2184,7463,105426,796,7,2792,13911,14798,4566
TX,2007,24546,335661,919,19881,12465,43861,93813,145585,135588,491,8485,15522,778,0,0,98594,30309,151,7057,815,5208,8592,2075,8036,104995,881,0,2652,14360,13466,4165
TX,2008,23949,345696,771,20528,13647,42392,94082,142318,144944,595,7690,14269,521,0,0,107558,31281,106,6285,890,5201,8844,2099,8397,113461,761,0,3232,14718,12036,4331
TX,2009,24060,346209,676,20824,11674,41220,95803,145941,141293,502,7899,13283,694,0,0,118204,28697,78,5277,831,5339,8623,1976,8416,117557,915,0,2534,14219,11483,4201
TX,2010,22974,336858,572,19617,8460,38315,94060,137641,131160,523,7006,13127,624,0,0,115543,26740,99,4672,775,5450,7558,1868,7637,112798,918,0,2184,13253,10727,4329
TX,2011,22352,325866,629,18562,6817,33516,88399,131820,118501,522,6337,12011,396,0,0,111132,24012,101,3983,697,5459,6548,1732,6788,109288,893,0,1814,12030,10051,4178
TX,2012,22073,309867,557,17627,5469,30048,88685,136937,114130,451,5742,10596,531,0,0,111449,22807,91,4163,719,5487,7028,1781,6454,108095,876,0,1486,11083,10417,4238
TX,2013,21478,285430,516,16194,4211,21624,80174,137529,95223,442,5412,9309,408,0,0,109913,17530,90,4287,672,5289,6599,1683,6745,101807,866,0,921,9902,10281,3827
TX,2014,21342,250896,530,14886,3000,12305,70583,139685,76072,525,5030,8183,597,0,0,109800,13008,118,4694,748,5210,5121,2008,6317,95860,1085,0,1080,9223,9671,3611
TX,2015,22062,255703,464,13118,3074,11333,72648,133424,78686,661,4905,6932,678,0,0,99377,11195,80,5605,766,5194,4988,2130,6981,96536,959,6,1006,8622,10980,3272
TX,2016,22229,254854,416,12516,2520,10745,69323,143275,73308,926,4795,6687,495,1,0,78857,11160,92,5922,906,4411,4518,2347,7212,95863,1073,0,2200,8274,12578,3051
TX,2017,22528,235550,493,11348,2367,9476,69923,146747,67268,806,4724,6482,368,43,15,66895,9496,108,5547,880,4452,4744,2463,6797,97307,958,26,909,7702,13905,2950
TX,2018,26920,223031,434,9649,1689,8049,73972,148575,58849,457,4627,6910,348,35,55,63674,9165,80,5447,786,4425,4029,2189,5954,96909,945,4,532,7656,13860,2592
TX,2019,27629,196222,466,9202,1316,7486,72242,128448,52657,360,4233,7488,318,54,29,59632,8235,63,5818,768,4025,3015,2222,6029,80441,859,27,549,7567,12202,1692
TX,2020,24851,132473,470,8388,1093,5969,61161,89186,31767,242,2835,5579,162,58,37,43471,5287,83,6201,1059,3414,1514,1890,5526,79964,948,3,678,6696,13971,1240
TX,2021,24014,170708,562,7473,461,5679,63252,85870,0,219,2123,5597,153,31,44,37295,5083,92,6836,1138,2191,1935,1808,4740,81693,1080,0,714,7403,17246,898
TX,2022,24078,179231,561,7486,418,5665,58645,85347,0,233,3259,6512,181,33,60,43022,4390,99,7658,1022,2359,1647,1735,4634,86449,1050,0,569,7669,17449,882
UT,2004,1202,41509,126,1479,1556,6482,7473,9267,4916,14,1323,1090,1,0,0,15743,12644,7,702,57,1543,354,180,461,10153,988,0,249,3490,1440,1071
UT,2005,1255,43513,130,1479,1969,6445,7444,9195,5359,7,1186,1225,0,0,0,15065,11234,8,573,48,2029,344,224,360,10499,974,4,472,3890,1338,982
UT,2006,1250,48485,133,1377,2276,6017,7920,9331,5409,25,969,1182,17,0,0,13303,12006,11,599,41,2413,517,207,435,10630,908,0,311,4306,1325,963
UT,2007,1382,47877,156,1419,2276,6537,8214,10263,5325,20,1140,1354,3,0,0,15096,12450,5,735,47,2374,364,211,469,11291,1009,1,239,4661,1454,969
UT,2008,1471,43093,116,1671,1706,5891,8035,10281,5134,29,1262,1198,7,0,0,18324,11458,6,533,57,2113,484,212,567,11969,848,0,201,4724,1366,894
UT,2009,1507,46076,114,1484,1375,5866,7818,11055,5186,28,1068,1183,53,0,0,18829,11118,6,439,37,2021,553,192,521,12014,796,0,215,4336,1320,899
UT,2010,1392,41403,81,1485,1176,5303,7434,10711,4425,20,982,1112,1,0,0,19304,10314,8,336,46,1646,415,244,453,11530,781,0,214,4401,1292,887
UT,2011,1441,38798,68,1470,1137,4936,6594,10699,4552,41,875,941,5,0,0,18188,10273,6,383,39,1598,458,200,359,10546,842,0,56,3600,1198,824
UT,2012,1506,39935,84,1341,1112,4110,6147,12775,4020,26,773,842,10,0,0,18000,8133,3,414,37,1356,125,163,376,10739,885,0,16,3827,1310,910
UT,2013,1564,54175,65,1143,949,4497,9236,13639,4212,26,758,1009,3,0,0,17230,7138,8,378,34,1481,179,233,383,10670,1080,0,55,3282,1130,806
UT,2014,1513,40878,88,1144,918,3670,8134,14653,4259,31,754,1158,0,0,0,18088,6093,4,424,44,1318,193,243,438,9951,1017,3,78,3036,1102,821
UT,2015,1751,40645,70,1185,821,3565,9128,15443,3341,35,737,1095,1,0,0,17980,4701,14,463,34,1456,195,252,443,10178,1098,98,43,2932,1164,816
UT,2016,1667,37931,80,1062,531,3186,9200,16415,3154,21,726,978,5,0,0,15694,4357,4,495,50,1449,195,285,415,9663,1084,12,40,2881,946,701
UT,2017,1754,41019,69,1040,462,2643,8593,19719,3047,32,842,1053,4,1,0,14831,4237,2,549,60,1581,376,264,448,8946,1306,12,43,2806,963,745
UT,2018,1762,39220,62,954,323,2408,7565,20423,2983,38,749,1071,2,1,0,13714,4011,8,554,40,1562,388,328,438,8780,1049,8,89,3022,953,747
UT,2019,1967,35071,89,914,239,2539,8442,17465,3086,48,664,923,3,38,0,13241,3677,7,418,61,1809,211,364,360,9035,1001,12,54,3046,971,772
UT,2020,2086,27291,76,918,282,2167,8849,13468,1748,36,531,776,1,25,1,11000,2917,18,480,63,1879,71,326,363,8439,1226,1,36,3011,904,543
UT,2021,2168,29690,97,841,288,2259,8821,14930,0,25,472,764,0,12,0,10115,2656,6,432,60,1625,56,391,347,9407,1044,0,13,3243,930,490
UT,2022,2191,31702,88,844,216,1903,8879,14754,0,18,398,807,2,1,0,10945,3171,12,412,68,2193,34,375,355,9658,892,0,14,3205,1069,461
VT,2004,280,3166,22,303,0,1022,3887,1538,0,35,119,525,0,0,0,1074,700,0,99,9,367,3,81,10,1498,183,0,0,419,17,55
VT,2005,314,2796,17,274,0,1014,3964,1533,8,34,108,566,0,0,0,1157,790,2,100,11,312,3,66,13,1653,150,0,1,482,14,67
VT,2006,379,3874,19,376,2,1167,4160,1846,10,46,129,522,0,0,0,1377,824,0,118,7,380,3,74,24,1861,173,0,2,485,18,53
VT,2007,350,3930,19,358,0,1072,3673,1602,5,42,121,422,0,0,0,1353,855,3,103,9,339,2,40,24,1692,168,0,2,448,27,53
VT,2008,439,3582,28,386,0,994,3343,1391,9,49,101,392,0,0,0,1485,746,0,115,13,358,6,81,24,1677,146,0,2,484,32,36
VT,2009,459,3357,19,360,0,849,3442,1423,5,51,76,332,0,0,0,1699,692,5,105,6,366,7,68,27,1824,147,0,0,480,25,41
VT,2010,436,3020,21,330,0,760,2766,1335,6,42,64,269,0,0,0,1454,454,1,98,7,316,6,81,30,1661,135,0,0,415,14,18
VT,2011,523,3165,17,384,0,917,2945,1332,4,57,72,309,0,0,0,1490,405,1,120,7,369,2,58,18,1875,173,0,1,461,27,39
VT,2012,512,4002,28,389,0,862,2921,1599,9,63,72,305,0,0,0,1701,459,2,93,8,348,3,68,26,1802,178,0,0,456,29,35
VT,2013,462,4044,29,303,0,824,2753,1339,3,55,65,293,0,0,0,1730,269,0,68,6,265,10,60,31,1590,203,0,0,362,22,39
VT,2014,416,4026,15,223,0,711,2404,713,1,48,39,225,0,0,0,1291,112,0,32,12,207,14,43,26,1363,114,0,0,280,20,34
VT,2015,444,4106,10,216,0,783,2303,713,1,65,39,215,0,0,0,1356,125,0,35,7,179,4,46,42,1346,103,0,0,310,20,27
VT,2016,428,4323,12,247,0,821,2365,859,1,71,36,194,0,0,0,1340,106,0,29,5,189,10,54,34,1314,114,0,0,321,24,36
VT,2017,570,5030,18,291,0,875,2694,1203,0,51,64,277,0,0,0,1409,130,3,33,13,195,4,79,40,1438,103,0,0,393,31,45
VT,2018,537,5058,20,220,0,856,2634,887,0,58,58,323,0,1,0,1350,87,2,56,13,205,1,89,40,1507,95,0,0,322,38,42
VT,2019,686,5262,14,252,0,933,2698,917,0,58,50,316,0,1,0,1620,63,10,75,10,221,3,95,53,1691,96,0,0,429,40,35
VT,2020,642,3764,29,204,0,641,1954,757,0,37,41,183,0,0,0,1011,52,3,63,11,211,1,72,38,1480,80,0,0,350,22,35
VT,2021,704,2676,25,195,0,466,1459,781,0,36,35,146,0,0,0,940,36,3,83,9,163,5,80,35,1464,83,0,0,502,29,28
VT,2022,728,4066,15,210,0,427,2254,704,0,36,52,172,0,0,0,1347,46,6,103,11,15,1,90,56,1541,85,0,0,354,29,40
VA,2004,4727,100490,316,3829,2358,7130,25451,27292,28206,1547,2820,9910,67,0,0,23694,9978,9,1463,297,1348,773,392,1725,36862,1035,0,146,4700,3593,1074
