state_abbr,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Population,Aggravated Assault_rate,All Other Offenses (Except Traffic)_rate,Arson_rate,Burglary_rate,Curfew and Loitering Law Violations_rate,Disorderly Conduct_rate,Driving Under the Influence_rate,Drug Abuse Violations - Grand Total_rate,Drunkenness_rate,Embezzlement_rate,Forgery and Counterfeiting_rate,Fraud_rate,Gambling - Total_rate,Human Trafficking - Commercial Sex Acts_rate,Human Trafficking - Involuntary Servitude_rate,Larceny - Theft_rate,Liquor Laws_rate,Manslaughter by Negligence_rate,Motor Vehicle Theft_rate,Murder and Nonnegligent Manslaughter_rate,Offenses Against the Family and Children_rate,Prostitution and Commercialized Vice_rate,Rape_rate,Robbery_rate,Simple Assault_rate,"Stolen Property: Buying, Receiving, Possessing_rate",Suspicion_rate,Vagrancy_rate,Vandalism_rate,"Weapons: Carrying, Possessing, Etc._rate","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)_rate"
AR,2018,4241,59744,69,2014,308,2476,6370,19309,6327,47,891,951,7,0,1,11471,1390,11,648,147,475,134,274,540,12573,1871,0,363,1660,1188,101,3012161,140.7959269,1983.426517,2.290714208,66.86229587,10.22521705,82.20012144,211.4760798,641.034792,210.0485333,1.560341562,29.58009217,31.57201756,0.232391296,0,0.033198757,380.8229374,46.14627173,0.365186323,21.5127943,4.880217226,15.7694094,4.44863339,9.096459319,17.92732859,417.4079672,62.11487367,0,12.05114866,55.10993602,39.44012289,3.353074421
AR,2019,4424,57016,67,1989,296,2728,6541,19094,5782,50,875,921,24,0,0,11511,1358,8,625,165,434,81,307,511,12747,1868,0,336,1919,1132,83,3020985,146.4423028,1887.33145,2.217819685,65.83945303,9.798128756,90.30167313,216.5187844,632.0455083,191.3945286,1.655089317,28.96406305,30.48674522,0.794442872,0,0,381.0346625,44.95222585,0.264814291,20.68861646,5.461794746,14.36617527,2.681244693,10.16224841,16.91501282,421.9484704,61.83413688,0,11.12220021,63.52232798,37.47122213,2.747448266
AR,2020,4804,41586,67,1761,213,2111,5273,15993,2959,29,633,661,9,0,0,9039,1001,17,580,198,329,17,292,447,11674,1781,0,313,1619,1081,89,3014348,159.3711144,1379.601824,2.222702886,58.42059377,7.066204698,70.03172825,174.9300346,530.5624964,98.16384837,0.962065428,20.99956608,21.92845683,0.29857203,0,0,299.8658416,33.20784462,0.563969389,19.24130857,6.568584649,10.91446641,0.563969389,9.687003624,14.82907747,387.2810969,59.08408717,0,10.38367169,53.70979064,35.86181821,2.952545625
AR,2021,4903,47474,70,1687,171,2341,5263,16543,0,26,503,512,9,1,0,7009,1062,9,668,190,330,54,288,348,11736,1678,0,215,1704,1158,105,3028443,161.8983748,1567.604211,2.311418772,55.7051924,5.646465857,77.30044779,173.7856714,546.2542963,0,0.858526972,16.60919489,16.9063773,0.297182414,0.033020268,0,231.4390596,35.0675248,0.297182414,22.05753914,6.273850952,10.8966885,1.783094481,9.509837233,11.49105332,387.5258673,55.40800999,0,7.099357657,56.26653696,38.23747054,3.467128158
AR,2022,4606,44272,64,1667,118,2505,5967,14637,0,15,537,508,5,0,0,8010,978,16,606,193,244,26,291,339,11479,1694,0,207,1478,1019,106,3046404,151.1946544,1453.254394,2.100837578,54.72025378,3.873419284,82.22809581,195.8702785,480.4681191,0,0.492383807,17.6273403,16.67539827,0.164127936,0,0,262.9329531,32.10342423,0.525209394,19.89230581,6.33533832,8.009443265,0.853465266,9.552245861,11.12787404,376.8049149,55.60654463,0,6.79489654,48.51621781,33.44927331,3.479512238
CA,2014,87468,299517,1055,48551,3236,6330,155512,229348,90061,1049,5226,6581,285,0,0,71492,15835,239,13773,1427,316,9156,2446,14801,78246,17405,0,8115,17200,24515,9743,38586706,226.6791055,776.2181099,2.734102258,125.8231268,8.386307968,16.40461355,403.0196306,594.3705068,233.3990364,2.718552861,13.54352455,17.05509664,0.738596345,0,0,185.2762451,41.03744953,0.619384303,35.69364019,3.698164855,0.818934894,23.72837941,6.338970733,38.35777016,202.7796827,45.10620834,0,21.03055907,44.57493729,63.53224346,25.24962872
CA,2015,88150,301333,1189,44292,1919,4711,141934,207457,78885,979,4874,6559,256,0,0,65158,12335,264,17449,1439,244,8138,2478,15905,81870,16369,8,7509,17205,26157,9436,38904296,226.5816608,774.5494225,3.05621775,113.8486094,4.93261721,12.10920254,364.828604,533.2495928,202.7668101,2.516431604,12.52817941,16.85932063,0.658025016,0,0,167.482789,31.70601005,0.678588298,44.85108791,3.698820305,0.627180093,20.91799836,6.369476523,40.88237453,210.4394846,42.07504487,0.020563282,19.30121033,44.22390782,67.2342201,24.25439083
CA,2016,87210,286762,1315,40957,1454,3940,130509,219782,70213,963,5042,6355,266,0,0,54836,8926,224,18621,1441,245,7607,2568,15895,81092,16532,0,6599,17267,27777,9247,39149186,222.7632523,732.4852169,3.358945956,104.6177563,3.713998038,10.06406621,333.3632531,561.3960914,179.3472794,2.459821259,12.87893955,16.23277684,0.679452186,0,0,140.0693235,22.7999632,0.572170262,47.56420734,3.680791728,0.625811224,19.43079991,6.559523358,40.6010996,207.1358521,42.22820878,0,16.85603374,44.10564245,70.95166679,23.61990362
CA,2017,88485,291206,1575,38241,999,3570,123607,213335,63751,997,4458,6946,287,0,0,47129,7208,267,19571,1502,232,7069,2567,17001,80805,17441,0,6896,16982,28682,9329,39337785,224.9364066,740.270455,4.003784148,97.21187911,2.539543088,9.075244069,314.219522,542.3157405,162.0604719,2.534458918,11.3326157,17.65732361,0.729578445,0,0,119.8059321,18.32334993,0.678736741,49.75114893,3.81821193,0.58976376,17.97000009,6.52553264,43.21799003,205.4131924,44.33650751,0,17.53021936,43.16969041,72.91208694,23.71511258
CA,2018,89911,295117,1535,35310,658,3477,127562,219899,58716,925,4132,6133,403,0,0,42643,5987,243,18057,1416,269,6422,2549,16715,82173,16283,1,7294,16694,28406,8936,39437463,227.9837321,748.3163914,3.8922382,89.5341569,1.668464323,8.816490047,323.4538692,557.5891127,148.8838164,2.34548556,10.47734739,15.55120318,1.021871006,0,0,108.1281522,15.18099681,0.616165396,45.7864138,3.590494652,0.682092558,16.28400894,6.463397506,42.38355799,208.3627945,41.28815284,0.00253566,18.49510452,42.33030913,72.02795981,22.65865834
